 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
2008:Q2,109.57,102.92,110.64,105.26,105.21,101.04,98.17,107.44,103.42,102.04,104.14,101.80,102.39,104.91,106.11,100.67,99.90,112.77,110.51,105.11,109.97,106.96,106.68,
2008:Q3,110.26,102.53,111.51,105.84,104.07,98.77,97.45,106.92,102.65,101.60,103.30,99.29,102.32,104.67,106.10,100.79,99.83,110.99,110.23,103.58,109.60,104.98,107.39,
2008:Q4,113.65,103.85,111.81,106.74,102.76,98.20,98.92,107.33,103.09,101.93,103.49,97.35,102.89,105.17,107.65,100.83,99.69,110.71,109.67,103.48,108.88,106.24,108.83,
2009:Q1,113.90,105.05,111.58,105.86,103.78,100.39,100.74,107.58,103.63,101.66,108.87,98.63,103.73,104.90,106.79,99.76,100.03,109.36,110.53,103.33,107.90,107.53,109.61,
2009:Q2,114.58,105.01,111.50,106.38,104.48,100.67,101.20,107.61,104.47,104.07,108.22,97.03,104.48,104.95,106.93,102.64,101.03,110.03,111.53,103.44,107.05,106.12,111.61,
2009:Q3,113.34,104.17,112.81,106.71,103.86,100.61,100.49,108.12,104.94,104.27,108.15,96.78,105.30,105.13,106.31,101.17,102.59,110.03,111.80,102.49,106.63,105.41,113.04,
2009:Q4,113.27,103.76,113.29,107.08,103.78,102.61,100.43,108.96,104.85,104.74,107.11,96.23,106.10,106.34,108.16,102.29,102.83,111.14,112.10,102.07,106.50,105.26,114.26,
2010:Q1,113.80,102.93,115.47,106.32,104.18,103.71,100.01,109.98,104.98,104.54,107.90,95.45,106.62,107.48,108.22,101.49,101.43,111.86,111.36,102.13,106.93,104.80,115.62,
2010:Q2,114.39,102.79,113.87,106.65,104.77,104.43,99.43,110.01,105.19,104.14,106.97,95.09,106.88,107.72,108.98,100.26,103.54,112.91,112.21,102.90,107.69,104.27,115.51,
2010:Q3,115.72,102.57,114.84,107.10,105.25,104.94,98.04,110.95,105.67,104.33,105.83,94.87,107.27,108.32,110.50,101.01,103.77,113.44,113.73,103.31,108.60,104.07,114.71,
2010:Q4,117.42,102.02,115.95,106.96,106.16,105.79,97.85,112.07,105.56,103.35,104.92,95.35,107.32,108.92,109.46,100.34,103.17,112.48,115.01,103.82,109.29,105.28,114.58,
2011:Q1,118.19,100.96,115.69,106.75,105.73,106.15,97.13,111.71,105.50,101.94,104.99,95.21,107.56,109.53,107.68,101.61,104.80,113.47,116.12,104.67,109.98,106.29,115.19,
2011:Q2,118.56,100.20,115.06,107.55,105.94,106.62,96.80,112.32,105.67,101.58,103.61,95.02,108.14,109.39,107.61,101.87,104.73,113.82,117.37,104.64,110.56,106.32,117.06,
2011:Q3,119.37,100.69,115.39,108.31,106.53,106.24,95.96,112.24,105.28,101.31,102.96,94.28,108.31,109.42,106.91,100.26,106.46,115.54,117.66,104.83,111.02,107.42,119.89,
2011:Q4,119.75,100.65,116.69,108.86,106.61,105.85,95.60,112.89,104.91,101.12,103.75,93.21,108.01,109.72,107.22,100.52,106.95,116.81,118.02,104.87,111.43,107.29,120.56,
2012:Q1,119.69,99.62,117.18,109.67,108.00,106.20,94.41,112.19,104.86,102.01,101.83,91.16,108.20,109.82,107.21,101.23,107.90,118.27,119.59,105.49,111.76,107.54,119.90,
2012:Q2,119.97,99.70,117.29,110.70,106.96,106.00,93.58,112.52,105.11,103.69,103.17,90.05,108.63,109.94,106.74,100.27,109.02,118.47,121.56,105.99,112.03,105.94,120.54,
2012:Q3,118.70,100.24,118.44,111.54,106.50,105.31,92.43,113.03,104.91,104.01,103.77,88.44,109.38,111.00,106.32,100.33,109.10,119.24,122.50,106.08,112.21,104.01,121.28,
2012:Q4,118.88,99.56,118.79,112.31,106.33,105.65,91.62,113.15,103.25,103.70,103.22,87.57,109.81,111.26,106.36,99.49,109.37,119.75,123.21,107.13,112.28,104.04,122.17,
2013:Q1,119.52,99.43,120.34,113.22,106.67,106.85,91.89,113.31,104.09,102.45,102.33,87.91,110.27,112.67,107.30,98.38,110.95,120.56,123.32,104.28,112.29,104.25,123.59,
2013:Q2,119.74,99.20,120.59,113.76,107.03,107.40,91.98,113.37,104.40,103.49,104.07,87.97,110.55,113.31,107.99,98.23,111.80,121.17,123.07,104.02,112.28,103.75,125.22,
2013:Q3,120.22,99.53,120.50,113.77,107.79,107.14,91.93,113.75,104.35,103.84,103.80,88.75,110.52,114.58,108.27,98.84,112.28,121.31,124.37,104.22,112.08,103.64,126.09,
2013:Q4,121.03,98.57,121.47,114.04,107.23,108.50,92.50,112.87,104.07,103.21,103.96,88.72,110.32,115.52,107.87,100.06,112.70,121.63,125.19,104.39,111.89,105.10,127.24,
2014:Q1,121.39,98.51,120.51,114.36,107.54,110.10,92.45,112.14,102.02,102.87,104.57,88.47,110.28,115.93,110.76,98.87,113.09,122.08,126.47,105.20,111.74,105.79,128.65,
2014:Q2,121.70,98.64,121.12,114.46,108.13,109.54,92.86,113.06,102.39,104.01,104.96,87.98,109.70,116.40,110.16,98.75,114.07,121.90,127.18,106.22,111.70,105.58,129.51,
2014:Q3,121.78,98.71,121.90,114.12,108.51,108.31,93.33,113.63,102.99,104.27,106.34,88.96,109.95,118.21,111.64,98.56,115.03,121.51,126.71,107.05,111.73,106.04,130.27,
2014:Q4,121.91,98.67,122.65,113.72,109.06,109.18,95.18,114.13,102.94,105.48,107.04,89.31,110.49,119.47,111.67,99.86,115.74,121.01,127.32,107.80,111.79,107.15,131.72,
2015:Q1,121.36,99.02,123.27,112.38,109.77,111.92,94.91,114.48,103.15,106.06,108.62,89.22,111.18,121.54,108.58,102.09,116.79,121.20,128.11,108.11,111.98,109.48,132.96,
2015:Q2,121.79,98.83,125.05,112.36,109.96,111.71,95.29,114.74,103.03,107.17,109.49,89.36,111.72,121.48,108.72,102.12,118.75,121.14,128.83,108.78,112.12,109.10,133.88,
2015:Q3,121.81,98.64,125.42,112.30,110.85,110.01,95.84,115.13,103.59,108.37,110.44,90.05,112.22,122.64,108.46,102.40,118.34,120.56,129.58,109.37,112.29,109.92,134.95,
2015:Q4,121.66,98.54,126.60,112.49,110.85,110.02,97.34,115.80,104.22,108.68,111.28,90.50,112.86,124.12,109.86,102.20,117.32,121.15,130.46,109.87,112.25,111.94,135.98,
2016:Q1,122.27,98.91,126.75,113.95,110.50,112.50,97.82,116.62,104.85,108.91,111.33,91.13,113.57,125.02,108.90,102.75,116.44,121.54,131.29,110.18,112.06,113.10,137.61,
2016:Q2,122.38,99.33,127.35,114.23,111.55,111.15,98.49,115.43,105.13,109.38,112.90,91.52,114.04,124.91,108.59,103.16,116.59,121.57,131.29,110.65,111.90,112.66,139.38,
2016:Q3,122.06,99.61,128.65,114.75,110.45,108.88,98.37,116.05,105.73,109.10,113.84,91.85,114.23,125.85,108.44,103.55,116.34,122.31,132.03,111.03,111.82,113.36,140.86,
2016:Q4,121.67,99.29,129.45,115.26,110.78,108.68,98.67,116.05,105.77,108.59,116.96,91.57,114.34,126.51,108.79,103.87,116.69,122.53,132.24,110.95,111.70,113.75,142.16,
2017:Q1,121.54,100.52,129.47,115.47,111.97,108.59,97.70,115.98,105.91,107.63,117.97,91.02,114.68,127.23,107.85,102.81,116.68,122.38,131.61,111.36,111.52,113.37,142.89,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
