 ,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,
1990:Q1,76.85,83.85,89.57,88.56,82.77,79.78,79.49,79.99,79.28,70.05,56.04,90.93,89.55,63.80,74.00,84.53,63.00,80.81,78.70,74.95,93.49,22.90,63.95,
1990:Q2,76.45,84.80,86.16,89.12,83.80,78.15,80.45,80.41,79.20,70.07,56.44,94.57,90.64,64.99,75.30,85.58,63.82,80.34,80.05,75.13,92.69,23.15,64.60,
1990:Q3,76.05,85.63,87.44,88.89,84.87,78.71,81.31,80.56,79.93,70.59,56.76,94.93,91.95,66.43,76.93,86.27,63.97,79.88,80.55,74.97,93.28,22.90,65.08,
1990:Q4,75.83,86.39,87.51,88.59,85.38,79.22,82.10,80.99,79.50,71.39,57.02,95.63,93.08,68.05,79.09,85.83,64.45,78.69,82.43,74.43,93.24,22.12,65.87,
1991:Q1,74.85,86.82,86.39,89.48,86.07,79.57,83.09,82.02,80.09,71.75,57.26,94.02,93.59,70.71,80.86,83.24,64.71,79.61,82.49,74.38,91.83,21.80,66.94,
1991:Q2,74.73,87.59,84.42,89.45,88.10,79.93,83.59,82.17,80.64,71.43,57.43,96.51,94.02,72.36,82.32,83.55,64.67,79.25,82.96,74.63,90.85,20.57,67.87,
1991:Q3,74.61,88.35,85.23,89.27,85.06,80.57,83.90,82.29,80.35,72.64,57.57,96.40,94.85,73.41,83.29,83.17,65.58,78.25,84.00,74.83,89.83,19.40,69.26,
1991:Q4,74.37,89.06,86.19,88.98,86.62,80.81,84.02,82.05,80.46,73.16,57.66,97.30,95.00,73.96,83.20,82.90,66.40,77.63,85.34,75.35,89.73,18.30,71.04,
1992:Q1,74.80,90.08,84.76,88.76,88.35,81.64,83.53,81.63,81.03,73.80,57.30,95.06,95.54,74.07,83.15,85.35,65.83,76.16,85.57,76.46,89.52,15.32,72.35,
1992:Q2,75.00,90.49,85.93,88.48,87.85,81.70,83.51,81.25,81.78,74.66,57.53,96.89,94.36,74.72,82.81,85.18,68.45,75.25,86.14,77.11,88.62,15.35,72.82,
1992:Q3,75.42,90.73,87.67,88.62,88.09,81.67,83.52,80.66,82.06,75.21,57.95,96.61,94.10,75.31,82.97,85.30,67.79,74.94,86.52,77.32,87.63,16.18,73.57,
1992:Q4,75.29,90.82,85.72,88.29,89.95,81.19,83.57,79.66,82.21,75.32,58.54,96.63,94.36,76.38,83.94,84.81,68.15,74.61,86.61,77.41,87.68,18.05,73.50,
1993:Q1,75.23,90.46,85.81,88.07,87.33,80.35,84.02,77.57,81.99,75.30,60.13,92.83,94.23,76.15,84.60,83.50,70.00,75.21,84.81,77.58,87.54,28.29,72.94,
1993:Q2,75.30,90.52,88.76,87.62,88.08,80.48,83.95,76.59,82.41,76.60,60.64,92.24,94.51,77.03,85.49,83.33,70.10,75.55,83.95,77.57,86.57,32.15,73.05,
